2024-12-01 21:19 Manifest ShipCase2.txt is opened, there are 4 containers on the ship
2024-12-01 21:19 Finishes a cycle. Manifest ShipCase2OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-01 21:19 Manifest ShipCase3.txt is opened, there are 6 containers on the ship
2024-12-01 21:19 Finishes a cycle. Manifest ShipCase3OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-01 21:19 Manifest ShipCase4.txt is opened, there are 7 containers on the ship
2024-12-01 21:19 Finishes a cycle. Manifest ShipCase4OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-01 21:19 Manifest ShipCase5.txt is opened, there are 5 containers on the ship
2024-12-01 21:19 Finishes a cycle. Manifest ShipCase5OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-01 21:19 Manifest full_manifest.txt is opened, there are 80 containers on the ship
2024-12-01 21:19 Finishes a cycle. Manifest full_manifestOUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-01 21:19 Manifest test_manifest.txt is opened, there are 9 containers on the ship
2024-12-01 21:20 Finishes a cycle. Manifest test_manifestOUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-01 21:20 Manifest ShipCase1.txt is opened, there are 2 containers on the ship
2024-12-01 21:20 Finishes a cycle. Manifest ShipCase1OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:16 Manifest ShipCase2.txt is opened, there are 4 containers on the ship
2024-12-02 14:16 Finishes a cycle. Manifest ShipCase2OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:16 Manifest ShipCase3.txt is opened, there are 6 containers on the ship
2024-12-02 14:16 Finishes a cycle. Manifest ShipCase3OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:16 Manifest ShipCase4.txt is opened, there are 7 containers on the ship
2024-12-02 14:16 Finishes a cycle. Manifest ShipCase4OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:16 Manifest ShipCase5.txt is opened, there are 5 containers on the ship
2024-12-02 14:16 Finishes a cycle. Manifest ShipCase5OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:16 Manifest full_manifest.txt is opened, there are 80 containers on the ship
2024-12-02 14:16 Finishes a cycle. Manifest full_manifestOUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:16 Manifest test_manifest.txt is opened, there are 9 containers on the ship
2024-12-02 14:17 Finishes a cycle. Manifest test_manifestOUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:17 Manifest ShipCase1.txt is opened, there are 2 containers on the ship
2024-12-02 14:17 Finishes a cycle. Manifest ShipCase1OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:31 Manifest ShipCase2.txt is opened, there are 4 containers on the ship
2024-12-02 14:37 Manifest ShipCase2.txt is opened, there are 4 containers on the ship
2024-12-02 14:37 Finishes a cycle. Manifest ShipCase2OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:37 Manifest ShipCase2.txt is opened, there are 4 containers on the ship
2024-12-02 14:37 Finishes a cycle. Manifest ShipCase2OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 14:55 Manifest ShipCase3.txt is opened, there are 6 containers on the ship
2024-12-02 14:55 Finishes a cycle. Manifest ShipCase3OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 17:45 Manifest /Users/youngsterethan/Downloads/ShipCase3.txt is opened, there are 6 containers on the ship
2024-12-02 17:45 Finishes a cycle. Manifest /Users/youngsterethan/Downloads/ShipCase3OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 17:48 Manifest /Users/youngsterethan/Downloads/ShipCase3.txt is opened, there are 6 containers on the ship
2024-12-02 17:48 Finishes a cycle. Manifest /Users/youngsterethan/Downloads/ShipCase3OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 18:04 Manifest /Users/youngsterethan/Downloads/ShipCase3.txt is opened, there are 6 containers on the ship
2024-12-02 18:04 Finishes a cycle. Manifest /Users/youngsterethan/Downloads/ShipCase3OUTBOUND.txt was written to desktop, and a reminder pop-up to operator to send file was displayed
2024-12-02 18:23 Manifest /Users/youngsterethan/Downloads/ShipCase3.txt is opened, there are 6 containers on the ship
